GEOID,state,delta
13057.0,Georgia,-49.461367510687865
13059.0,Georgia,37.544468160796875
13061.0,Georgia,10.290652003142185
13063.0,Georgia,70.6178184128625
13065.0,Georgia,-42.40325865580448
13067.0,Georgia,2.179137232142047
13069.0,Georgia,-39.48257276320518
13071.0,Georgia,-47.23282442748092
13073.0,Georgia,-37.3754691626894
13075.0,Georgia,-40.00330196466897
13077.0,Georgia,-42.027694550166004
13079.0,Georgia,-42.77434312210201
13081.0,Georgia,-22.790202342917993
13083.0,Georgia,-65.45978852931754
13085.0,Georgia,-71.84020399490014
13087.0,Georgia,-18.432821310519152
13089.0,Georgia,63.509945767687455
13091.0,Georgia,-45.398773006134974
13093.0,Georgia,-2.0471624773257346
13095.0,Georgia,38.36946636547658
13097.0,Georgia,10.71737850289238
13099.0,Georgia,-8.025078369905962
13101.0,Georgia,-71.99661590524535
13103.0,Georgia,-55.50771591781054
13105.0,Georgia,-34.468511330912726
13107.0,Georgia,-36.895674300254456
13109.0,Georgia,-35.26155549404926
13111.0,Georgia,-65.26413816457838
13113.0,Georgia,-19.31279037315516
13115.0,Georgia,-43.212552011095696
13117.0,Georgia,-47.229207603262026
13119.0,Georgia,-68.34862385321101
13121.0,Georgia,41.555804363095206
13123.0,Georgia,-66.64056995224301
13125.0,Georgia,-78.92086330935253
13127.0,Georgia,-28.418410530309657
13129.0,Georgia,-63.347222954797196
13131.0,Georgia,-32.99685227396071
13133.0,Georgia,-25.881156800723005
13135.0,Georgia,5.836792748780951
13137.0,Georgia,-65.91762605430031
13139.0,Georgia,-50.29139672390866
13141.0,Georgia,51.89944134078213
13143.0,Georgia,-71.40970326670777
13145.0,Georgia,-47.569991516179854
13147.0,Georgia,-46.46634377779974
13149.0,Georgia,-62.206961875443994
13151.0,Georgia,4.3871372739606755
13153.0,Georgia,-21.433445962815625
13155.0,Georgia,-49.727520435967314
13157.0,Georgia,-63.600588451636625
13159.0,Georgia,-46.58395368072789
13161.0,Georgia,-62.85321821036106
13163.0,Georgia,10.87830080367393
13165.0,Georgia,-25.261780104712045
13167.0,Georgia,-37.52034725990233
13169.0,Georgia,-34.61078798502111
13171.0,Georgia,-38.36048344718864
13173.0,Georgia,-41.0309996516893
13175.0,Georgia,-28.97593445980543
13177.0,Georgia,-52.860072120483636
13179.0,Georgia,21.198042495199154
13181.0,Georgia,-36.22623110677718
13183.0,Georgia,-30.750546514452274
13185.0,Georgia,-17.381298770003966
13187.0,Georgia,-59.54929577464789
13189.0,Georgia,-18.698748381527835
13191.0,Georgia,-20.05759783161104
13193.0,Georgia,27.1751807790996
13195.0,Georgia,-56.47607934655777
13197.0,Georgia,-22.194357366771165
13199.0,Georgia,-15.384615384615387
13201.0,Georgia,-49.84276729559749
13205.0,Georgia,-9.974619289340097
13207.0,Georgia,-41.467644045085514
13209.0,Georgia,-50.97874720357941
13211.0,Georgia,-41.11873350923483
13213.0,Georgia,-68.55835607641676
13215.0,Georgia,18.650770657086568
13217.0,Georgia,2.3416009275467786
13219.0,Georgia,-38.92997171075488
13221.0,Georgia,-41.86394965537909
13223.0,Georgia,-41.049468331021735
13225.0,Georgia,-2.91108630952381
13227.0,Georgia,-68.89870351901979
13229.0,Georgia,-73.84762686363015
13231.0,Georgia,-69.20343839541546
13233.0,Georgia,-57.31269785437917
13235.0,Georgia,-36.97642163661581
13237.0,Georgia,-39.90303541315346
13239.0,Georgia,-10.919540229885051
13241.0,Georgia,-60.59809809809809
13243.0,Georgia,11.279751638496023
13245.0,Georgia,32.249222008872415
13247.0,Georgia,25.817951358631063
13249.0,Georgia,-56.102671555788376
13251.0,Georgia,-17.585301837270336
13253.0,Georgia,-32.2185061315496
13255.0,Georgia,-24.46700902583256
13257.0,Georgia,-59.592460519612835
13259.0,Georgia,20.262390670553927
13261.0,Georgia,2.223437215236018
13263.0,Georgia,24.830560690080098
13265.0,Georgia,21.850613154960975
13267.0,Georgia,-49.47124438649863
13269.0,Georgia,-22.535211267605632
13271.0,Georgia,-29.95258166491044
13273.0,Georgia,9.38171401289091
13275.0,Georgia,-21.73173066695032
13277.0,Georgia,-36.83100077361277
13279.0,Georgia,-46.80455241847231
13281.0,Georgia,-61.6942637492608
13283.0,Georgia,-35.03514613392527
13285.0,Georgia,-23.120523917123045
13287.0,Georgia,-24.985285462036487
13289.0,Georgia,-1.576743040157666
13291.0,Georgia,-65.3983254580121
13293.0,Georgia,-34.90945674044265
13295.0,Georgia,-61.50859909834698
13297.0,Georgia,-56.103494029190614
13299.0,Georgia,-41.636572554169405
13301.0,Georgia,13.838903170522713
13303.0,Georgia,0.6027656305401266
13305.0,Georgia,-58.695860943051954
13307.0,Georgia,-14.068100358422953
13309.0,Georgia,-36.86964795432922
13311.0,Georgia,-68.4005751501311
13313.0,Georgia,-44.36036271120099
13315.0,Georgia,-41.80107526881721
13317.0,Georgia,-16.139099420419086
13319.0,Georgia,-10.240261254956842
13321.0,Georgia,-49.81314044605184
15001.0,Hawaii,36.62571107034394
15003.0,Hawaii,29.871584030231986
15007.0,Hawaii,33.72697930510728
15009.0,Hawaii,38.56771585330638
16001.0,Idaho,-9.237538904987503
16003.0,Idaho,-52.267521759047185
16005.0,Idaho,-20.4632511371798
16007.0,Idaho,-66.53005464480874
16009.0,Idaho,-55.74671445639188
16011.0,Idaho,-48.01804511278196
16013.0,Idaho,28.68332711674748
16015.0,Idaho,-49.711588883062404
16017.0,Idaho,-35.92608508809626
16019.0,Idaho,-40.182266344044685
16021.0,Idaho,-55.31667635095875
16023.0,Idaho,-61.30081300813007
16025.0,Idaho,-50.847457627118644
16027.0,Idaho,-41.683039087724126
16029.0,Idaho,-66.02965403624381
16031.0,Idaho,-60.07581315725116
16033.0,Idaho,-56.18374558303887
16035.0,Idaho,-56.51144435674822
16037.0,Idaho,-55.92377796188898
16039.0,Idaho,-46.96080732222483
16041.0,Idaho,-63.93889798145118
16043.0,Idaho,-60.174978127734036
16045.0,Idaho,-59.73095297963288
16047.0,Idaho,-54.18994413407821
16049.0,Idaho,-63.70703267338758
16051.0,Idaho,-65.01089324618735
16053.0,Idaho,-49.103836468671304
16055.0,Idaho,-42.50490122153522
16057.0,Idaho,4.5562097617344435
16059.0,Idaho,-55.615234375
16061.0,Idaho,-58.61635220125786
16063.0,Idaho,-47.139588100686495
16065.0,Idaho,-49.33707292197859
16067.0,Idaho,-54.14059088924466
16069.0,Idaho,-34.1317365269461
16071.0,Idaho,-65.13539651837525
16073.0,Idaho,-62.70063694267515
16075.0,Idaho,-57.23805147058824
